epoch,accuracy,loss,val_accuracy,val_loss
0,0.7540000081062317,0.8510529398918152,0.7437499761581421,0.5911675095558167
1,0.8270000219345093,0.40585434436798096,0.8799999952316284,0.298222154378891
2,0.8690000176429749,0.34073126316070557,0.8500000238418579,0.4276854693889618
3,0.8830000162124634,0.3249180316925049,0.8887500166893005,0.33483216166496277
4,0.9100000262260437,0.2362440973520279,0.8912500143051147,0.38074761629104614
5,0.9210000038146973,0.21340902149677277,0.8949999809265137,0.35567691922187805
6,0.9380000233650208,0.17793568968772888,0.7574999928474426,1.2540132999420166
7,0.9480000138282776,0.1679891049861908,0.8812500238418579,0.4280504584312439
8,0.9559999704360962,0.12479037046432495,0.8062499761581421,0.9989238977432251
9,0.953000009059906,0.1341955065727234,0.90625,0.38263121247291565
